anchor_date,route,horizon_days,model,mae,rmse,wmape
2017-07-25,KZN-DME,1,timesfm,11.961822509765625,11.961822815864018,0.08731257170438766
2017-07-25,KZN-DME,1,naive_last,3.0,3.0,0.021897809579968452
2017-07-25,KZN-DME,1,seasonal7,33.0,33.0,0.24087591469287872
2017-07-25,KZN-DME,7,timesfm,10.547513961791992,13.10763301801515,0.07133584469556808
2017-07-25,KZN-DME,7,naive_last,10.142857551574707,13.228756555322953,0.06859903037548065
2017-07-25,KZN-DME,7,seasonal7,13.285714149475098,16.87347902578463,0.08985507488250732
2017-07-25,KZN-DME,14,timesfm,11.873101234436035,13.687178377178801,0.07930506765842438
2017-07-25,KZN-DME,14,naive_last,12.571428298950195,14.851647261889893,0.08396946638822556
2017-07-25,KZN-DME,14,seasonal7,14.571428298950195,17.067094233243285,0.09732824563980103
2017-07-25,LED-DME,1,timesfm,30.067398071289062,30.067397640615763,0.1488485038280487
2017-07-25,LED-DME,1,naive_last,31.0,31.0,0.15346534550189972
2017-07-25,LED-DME,1,seasonal7,25.0,25.0,0.12376237660646439
2017-07-25,LED-DME,7,timesfm,14.241147994995117,17.27069442687028,0.08286619931459427
2017-07-25,LED-DME,7,naive_last,12.571428298950195,15.729862479004654,0.07315045595169067
2017-07-25,LED-DME,7,seasonal7,19.85714340209961,23.037237126738827,0.11554447561502457
2017-07-25,LED-DME,14,timesfm,18.921630859375,24.25015353124723,0.10137881338596344
2017-07-25,LED-DME,14,naive_last,21.5,28.222331583340168,0.11519326269626617
2017-07-25,LED-DME,14,seasonal7,24.5,32.76867050402812,0.1312667429447174
2017-07-25,LED-IKT,1,timesfm,16.249420166015625,16.24942062518836,0.12596449255943298
2017-07-25,LED-IKT,1,naive_last,25.0,25.0,0.19379845261573792
2017-07-25,LED-IKT,1,seasonal7,21.0,21.0,0.1627907007932663
2017-07-25,LED-IKT,7,timesfm,10.920462608337402,12.781704248689866,0.0752394050359726
2017-07-25,LED-IKT,7,naive_last,12.285714149475098,14.020393232416898,0.08464566618204117
2017-07-25,LED-IKT,7,seasonal7,8.571428298950195,10.583005244258363,0.05905511975288391
2017-07-25,LED-IKT,14,timesfm,12.682256698608398,16.820491210441713,0.08614826947450638
2017-07-25,LED-IKT,14,naive_last,13.5,16.298553702190976,0.09170305728912354
2017-07-25,LED-IKT,14,seasonal7,15.071428298950195,17.572299381879603,0.10237748920917511
2017-07-25,LED-SVO,1,timesfm,32.72125244140625,32.72125333665988,0.10006499290466309
2017-07-25,LED-SVO,1,naive_last,18.0,18.0,0.055045872926712036
2017-07-25,LED-SVO,1,seasonal7,6.0,6.0,0.01834862306714058
2017-07-25,LED-SVO,7,timesfm,20.435049057006836,24.615027872581592,0.06434788554906845
2017-07-25,LED-SVO,7,naive_last,20.0,22.193950564295456,0.06297795474529266
2017-07-25,LED-SVO,7,seasonal7,19.285715103149414,23.47947413308923,0.06072874367237091
2017-07-25,LED-SVO,14,timesfm,24.409587860107422,28.274662561536434,0.07663920521736145
2017-07-25,LED-SVO,14,naive_last,23.64285659790039,27.175356483402386,0.07423189282417297
2017-07-25,LED-SVO,14,seasonal7,22.35714340209961,28.298157282169562,0.07019510865211487
2017-07-25,LED-VKO,1,timesfm,57.57044982910156,57.570449793736415,0.33666929602622986
2017-07-25,LED-VKO,1,naive_last,69.0,69.0,0.4035087823867798
2017-07-25,LED-VKO,1,seasonal7,45.0,45.0,0.2631579041481018
2017-07-25,LED-VKO,7,timesfm,24.48453140258789,32.560998570831444,0.11771409958600998
2017-07-25,LED-VKO,7,naive_last,32.57143020629883,39.009155763723435,0.1565934121608734
2017-07-25,LED-VKO,7,seasonal7,18.0,23.543273042769695,0.08653846383094788
2017-07-25,LED-VKO,14,timesfm,22.983625411987305,29.13044812241137,0.10654660314321518
2017-07-25,LED-VKO,14,naive_last,28.428571701049805,33.70248029054204,0.13178807497024536
2017-07-25,LED-VKO,14,seasonal7,16.428571701049805,20.667434596079,0.07615894079208374
2017-07-25,OVB-DME,1,timesfm,2.053009033203125,2.053009043863614,0.006202444434165955
2017-07-25,OVB-DME,1,naive_last,26.0,26.0,0.07854984700679779
2017-07-25,OVB-DME,1,seasonal7,8.0,8.0,0.024169184267520905
2017-07-25,OVB-DME,7,timesfm,24.738271713256836,29.943699204846293,0.07519231736660004
2017-07-25,OVB-DME,7,naive_last,31.714284896850586,35.42396332617759,0.09639600664377213
